State,District,Latitude,Longitude,Population,Male Population,Female population,Literate,Male Literate,Female Literate,SC,Male SC,Female SC,ST,Male ST,Female ST,Workers,Male Workers,Female Workers,Non Workers,Agricultural Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,LPG PNG Households,Housholds with Electricity,Households with Internet,Households with Computer,Below Primary Education,Primary Education,Secondary Education,Graduate Education,Other Education,Age 0-29,Age 30-49,Above 50,Households with Television,Households with Telephone Mobile Phone,Sex Ratio,Literacy Rate,Male Unliterate,Female Unliterate
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,3687165,1923928,1763237,2031532,1265753,765779,608024,315199,292825,118924,61969,56955,1489741,965103,524638,2197424,242017,612942,3224399,411558,6035,4123,514,36697,80,197135,408808,19335,54808,497762,512035,259304,177199,30720,2359786,836322,489280,246002,491165,92.0,55.0,658175,997458
Rajasthan,Karauli,26.51901555555556,76.96081818181815,1458248,783639,674609,805849,531904,273945,354465,189249,165216,324960,176200,148760,628726,371058,257668,829522,115367,168536,1370977,81553,602,297,70,3424,413,28296,132079,1059,13045,220644,193938,104208,67639,14402,947173,310688,192042,49752,166652,86.0,55.0,251735,400664
Rajasthan,Kota,25.175718080000014,76.18618928000001,1951014,1021161,929853,1298345,765396,532949,405408,211161,194247,183816,96428,87388,748811,534650,214161,1202203,134992,448432,1661307,243993,5665,11058,280,25742,286,165563,339899,12843,36297,286676,294591,172538,167778,27485,1177474,495896,275396,236764,283909,91.0,67.0,255765,396904
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,3307743,1696325,1611418,1758624,1102750,655874,699911,360451,339460,10418,5475,4943,1425882,857031,568851,1881861,263401,398220,2833443,454487,1912,366,163,12940,276,97267,347344,4449,35328,513871,486057,242053,117444,14853,2088323,754143,463469,184518,465022,95.0,53.0,593575,955544
Rajasthan,Pali,25.80490393541874,73.55285640766907,2037573,1025422,1012151,1085693,667381,418312,398096,203328,194768,144578,74369,70209,842327,523077,319250,1195246,237280,335437,1870543,143476,1345,1540,141,18974,52,94821,326793,4043,19270,293818,359329,144581,67021,9403,1207983,467436,343384,154761,316935,99.0,53.0,358041,593839
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,1156597,581339,575258,619139,383334,235805,148168,74738,73430,160809,81173,79636,550831,319534,231297,605766,106587,223157,1105676,33677,759,260,100,14966,68,36073,193276,1989,9222,190090,190388,72969,34286,4732,687165,275099,193668,80267,168164,99.0,54.0,198005,339453
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,1335551,704031,631520,741748,486184,255564,278789,146333,132456,285848,152745,133103,578068,343802,234266,757483,88804,163836,1165505,155681,945,812,177,9991,42,40116,140947,1887,14310,205450,172925,87349,70870,14384,841697,309237,183234,61935,171024,90.0,56.0,217847,375956
Rajasthan,Sikar,27.64644058641976,75.29317422839503,2677333,1374990,1302343,1652117,995275,656842,418806,216523,202283,75349,39098,36251,1006504,657854,348650,1670829,87889,394528,2342076,327583,1122,356,177,4050,15,131342,339457,5647,28382,369959,438872,282595,181282,19321,1672813,605002,381226,218772,384989,95.0,62.0,379715,645501
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,1036346,534231,502115,476806,309900,166906,201863,104899,96964,292470,148966,143504,419829,272196,147633,616517,97823,188483,996562,30479,1284,572,114,6829,56,47182,134089,2146,10297,117971,147381,58213,27076,5251,649290,244401,142251,65197,125006,94.0,46.0,224331,335209
Rajasthan,Tonk,26.153935071707927,75.79192216427637,1421326,728136,693190,749659,478329,271330,287903,148110,139793,178207,92677,85530,649161,371848,277313,772165,113426,193648,1243527,153146,754,378,122,22458,30,32359,158264,1908,12482,237191,190750,91853,67155,9919,880194,334006,205593,83447,189703,95.0,53.0,249807,421860
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,3068420,1566801,1501619,1582629,973444,609185,188525,97094,91431,1525289,773213,752076,1365783,835839,529944,1702637,302968,490174,2869976,104307,7406,4278,209,78647,373,128320,357846,14211,48517,442946,386075,164290,142672,20010,1876436,739287,451034,180282,330546,96.0,52.0,593357,892434
